         2037790 function calls (2019726 primitive calls) in 2.383 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 SocketServer.py:611(ForkingTCPServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:613(ThreadingUDPServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:614(ThreadingTCPServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:618(UnixStreamServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:621(UnixDatagramServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:624(ThreadingUnixStreamServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:626(ThreadingUnixDatagramServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:628(BaseRequestHandler)
        1    0.000    0.000    0.000    0.000 SocketServer.py:674(StreamRequestHandler)
        1    0.000    0.000    0.000    0.000 SocketServer.py:717(DatagramRequestHandler)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 StringIO.py:42(StringIO)
       42    0.000    0.000    0.000    0.000 UserDict.py:103(__contains__)
       24    0.000    0.000    0.000    0.000 UserDict.py:35(__getitem__)
        4    0.000    0.000    0.000    0.000 UserDict.py:4(__init__)
        8    0.000    0.000    0.000    0.000 UserDict.py:43(clear)
        1    0.000    0.000    0.000    0.000 UserDict.py:56(keys)
        3    0.000    0.000    0.000    0.000 UserDict.py:57(items)
       36    0.000    0.000    0.000    0.000 UserDict.py:91(get)
        1    0.000    0.000    0.000    0.000 UserDict.py:95(setdefault)
        1    0.000    0.000    0.000    0.000 UserList.py:1(<module>)
        1    0.000    0.000    0.000    0.000 UserList.py:5(UserList)
        1    0.000    0.000    0.000    0.000 _LWPCookieJar.py:12(<module>)
        1    0.000    0.000    0.000    0.000 _LWPCookieJar.py:49(LWPCookieJar)
        1    0.000    0.000    0.000    0.000 _MozillaCookieJar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _MozillaCookieJar.py:8(MozillaCookieJar)
        1    0.000    0.000    0.000    0.000 __about__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
      124    0.027    0.000    2.342    0.019 __init__.py:1(<module>)
        2    0.001    0.000    0.001    0.001 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(ExtType)
        1    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
      592    0.001    0.000    0.010    0.000 __init__.py:100(resource_exists)
        1    0.000    0.000    0.000    0.000 __init__.py:1003(getLoggerClass)
      114    0.000    0.000    0.004    0.000 __init__.py:1005(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:1010(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1015(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:102(InuseAttributeErr)
       79    0.001    0.000    0.005    0.000 __init__.py:1025(getLogger)
       14    0.000    0.000    0.004    0.000 __init__.py:103(lazy_number)
        1    0.000    0.000    0.000    0.000 __init__.py:105(InvalidStateErr)
        1    0.002    0.002    0.078    0.078 __init__.py:106(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:1065(formfield)
       54    0.000    0.000    0.001    0.000 __init__.py:1071(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1077(CharField)
        1    0.000    0.000    0.000    0.000 __init__.py:108(HashedSeq)
       14    0.000    0.000    0.000    0.000 __init__.py:108(NumberAwareString)
        1    0.000    0.000    0.000    0.000 __init__.py:108(SyntaxErr)
      365    0.003    0.000    0.018    0.000 __init__.py:1080(__init__)
      593    0.000    0.000    0.011    0.000 __init__.py:1087(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:1095(_fixupChildren)
        2    0.000    0.000    0.000    0.000 __init__.py:110(_inner)
        1    0.000    0.000    0.000    0.000 __init__.py:111(InvalidModificationErr)
        1    0.000    0.000    0.307    0.307 __init__.py:111(connect)
        1    0.000    0.000    0.000    0.000 __init__.py:1112(Logger)
       55    0.000    0.000    0.000    0.000 __init__.py:1127(__init__)
       12    0.000    0.000    0.004    0.000 __init__.py:1127(formfield)
        1    0.000    0.000    0.000    0.000 __init__.py:1136(ExtractionError)
